Hostname Pattern Block_size Threads Read_Bandwidth_KB/s Read_IOPS Read_latency_mean Read_Total_I/O_KB Read_runtime_ms Write_Bandwidth_KB/s Write_IOPS Write_latency_mean Write_Total_I/O_KB Write_runtime_ms
bench-node3 readwrite 2048k 1 36579 17 29005.635940 2199552 60130 35285 17 27948.302124 2121728 60130
bench-node3 readwrite 2048k 2 45907 22 35251.146884 2760704 60136 45430 22 54511.606447 2732032 60136
bench-node3 readwrite 2048k 4 43616 21 63377.664062 2621440 60102 45933 22 118126.989614 2760704 60102
bench-node3 readwrite 2048k 8 54025 26 94838.722747 3250176 60160 54468 26 206517.550625 3276800 60160
bench-node3 readwrite 2048k 16 65230 31 149456.510172 3926016 60187 63052 30 364876.501889 3794944 60187
bench-node3 readwrite 2048k 32 79925 39 239142.282931 4835328 60498 80602 39 566251.876942 4876288 60498
bench-node3 readwrite 2048k 64 76408 37 620995.098375 4663296 61031 76442 37 1068466.161545 4665344 61031
bench-node3 readwrite 2048k 128 107813 52 941700.505243 5273600 48914 106555 52 1365273.856189 5212160 48915
bench-node3 readwrite 1024k 1 36263 35 14497.616000 2176000 60006 35358 34 14070.815154 2121728 60006
bench-node3 readwrite 1024k 2 43900 42 14562.358666 2640896 60156 44122 43 31855.919753 2654208 60156
bench-node3 readwrite 1024k 4 48200 47 25081.324277 2902016 60207 49731 48 57866.741792 2994176 60207
bench-node3 readwrite 1024k 8 45389 44 51125.354767 2770944 61048 46463 45 124440.403971 2836480 61048
bench-node3 readwrite 1024k 16 58795 57 88797.450072 3558400 60522 57390 56 193007.253243 3473408 60522
bench-node3 readwrite 1024k 32 67052 65 122532.115084 4066304 60644 69871 68 347302.444176 4237312 60644
bench-node3 readwrite 1024k 64 76668 74 263569.532233 4654080 60704 77107 75 578802.612120 4680704 60704
bench-node3 readwrite 1024k 128 97748 95 469242.108283 5229568 53500 98246 95 787576.536334 5256192 53500
bench-node3 readwrite 512k 1 31903 62 7736.415084 1914368 60005 32697 63 8090.032620 1961984 60005
bench-node3 readwrite 512k 2 41145 80 8588.619896 2470400 60040 40838 79 16400.885989 2451968 60040
bench-node3 readwrite 512k 4 47385 92 12559.388639 2848256 60108 46610 91 31149.065058 2801664 60108
bench-node3 readwrite 512k 8 46821 91 24273.852400 2837504 60603 47032 91 62291.106341 2850304 60603
bench-node3 readwrite 512k 16 37617 73 50391.365076 2263552 60173 38817 75 161669.989040 2335744 60173
bench-node3 readwrite 512k 32 33316 65 97762.839392 2056192 61717 33996 66 373624.142997 2098176 61717
bench-node3 readwrite 512k 64 20462 39 275270.096364 1450496 70886 20549 40 1095402.713533 1456640 70886
bench-node3 readwrite 512k 128 32352 63 326748.667760 2029568 62733 33552 65 1579978.804670 2104832 62733
bench-node3 readwrite 256k 1 10557 41 3137.307879 633600 60016 11256 43 19781.284956 675584 60016
bench-node3 readwrite 256k 2 33404 130 4221.228480 2004480 60007 33980 132 10898.890270 2039040 60007
bench-node3 readwrite 256k 4 45313 177 7039.591662 2720256 60032 45326 177 15526.721517 2721024 60032
